# ID, Label, Sum, Omnivariance, Eigenentropy, Linearity, Planarity, Sphericity, Anisotropy,Relative Height, Area Bounding Box, Area Oriented Bounding Box, Aspect Ratio, Density m2,Density m3, Area Convex Hull, Shape Index , Distance Z, Distance XY
  92.00000,   0.00000,  54.05376,   8.93894,   0.62920,   0.60911,   0.35746,   0.03343,   0.96657,   7.38000, 347.48431, 340.08270,   1.24139,  31.49822,   4.26805, 287.62842,   4.29698,   0.87427,   1.77232
  93.00000,   0.00000,  20.31949,   2.02912,   0.57766,   0.58060,   0.41251,   0.00689,   0.99311,   5.45000, 121.88699, 121.68929,   1.60477,  30.37243,   5.57292, 110.27412,   2.63285,   1.16082,   0.83889
  94.00000,   0.00000,  11.10567,   1.73143,   0.56874,   0.71781,   0.25183,   0.03037,   0.96963,   3.30000,  57.38519,  56.07455,   1.74848,  18.97474,   5.74992,  54.43378,   1.81233,   0.88608,   0.10019
  95.00000,   0.00000,  42.98518,   4.74990,   0.57551,   0.60507,   0.38547,   0.00946,   0.99054,   4.34000, 281.18765, 273.46265,   1.50748,  28.30368,   6.52159, 238.02341,   3.92134,   0.93489,   1.54551
  96.00000,   0.00000,  38.92544,   9.67095,   0.80633,   0.35945,   0.50682,   0.13373,   0.86627,   8.22000, 260.23175, 253.78342,   1.14540,  33.51283,   4.07699, 223.76207,   3.95400,   0.92391,   0.46194
  97.00000,   0.00000,  31.42385,   5.58758,   0.65814,   0.56981,   0.38852,   0.04167,   0.95833,   7.08000, 200.04475, 200.04475,   1.08315,  28.03373,   3.95957, 163.75883,   3.23781,   1.24804,   1.77355
  98.00000,   0.00000,  92.92423,  15.22461,   0.55081,   0.76906,   0.19194,   0.03900,   0.96100,   7.77000, 487.84421, 485.58496,   2.07718,  36.10491,   4.64671, 450.63507,   5.35444,   0.49123,   0.22561
  99.00000,   0.00000,  30.26898,   5.54313,   0.67949,   0.51526,   0.43935,   0.04539,   0.95461,   8.36000, 168.82848, 168.28040,   1.40124,  39.35099,   4.70706, 162.83449,   3.24592,   0.61356,   0.14355
 100.00000,   1.00000,   2.26306,   0.31335,   0.45260,   0.84578,   0.12574,   0.02848,   0.97152,   1.25000,  12.04282,  10.87919,   2.38964,  13.78779,  11.03023,   8.86494,   0.71804,   0.21240,   0.20128
 101.00000,   1.00000,   2.33263,   0.33158,   0.45498,   0.85022,   0.11816,   0.03162,   0.96838,   1.51000,  12.24296,  12.19887,   2.28977,  26.23194,  17.37215,  10.28288,   0.78036,   0.29809,   0.08315
 102.00000,   1.00000,   2.72232,   0.48648,   0.54455,   0.82460,   0.11382,   0.06158,   0.93842,   1.69000,  12.73862,  12.69781,   2.23691,  31.58026,  18.68655,  11.17347,   0.81729,   0.35572,   0.12476
 103.00000,   1.00000,   2.09473,   0.31447,   0.50056,   0.81033,   0.15710,   0.03257,   0.96743,   1.25000,  11.11913,  10.98870,   2.20207,  28.75681,  23.00544,   9.25116,   0.75408,   0.17547,   0.09557
 104.00000,   1.00000,   2.98728,   0.42490,   0.42320,   0.88708,   0.07398,   0.03894,   0.96106,   1.38000,  14.42116,  13.22658,   2.97627,  25.55460,  18.51782,  12.52937,   0.80291,   0.06136,   0.14827
 105.00000,   1.00000,   1.97452,   0.26451,   0.46535,   0.82323,   0.15325,   0.02352,   0.97648,   0.96000,  11.65864,  10.57196,   1.99216,  29.32285,  30.54464,   9.09471,   0.74928,   0.12052,   0.03314
 106.00000,   1.00000,   2.23173,   0.22420,   0.32930,   0.90452,   0.08096,   0.01452,   0.98548,   1.15000,  10.35160,   9.66027,   2.74070,  16.56268,  14.40233,   8.19102,   0.64723,   0.26056,   0.31503
 107.00000,   1.00000,   1.89278,   0.26743,   0.51082,   0.77853,   0.19683,   0.02464,   0.97536,   1.09000,  11.70400,   9.71224,   1.93367,  34.59554,  31.73902,   8.39160,   0.72759,   0.15979,   0.07103
 108.00000,   1.00000,   1.53732,   0.29350,   0.56642,   0.83678,   0.08083,   0.08240,   0.91760,   1.47000,   7.48715,   7.15195,   2.18636,  26.70601,  18.16736,   6.29159,   0.61850,   0.35374,   0.02726
 109.00000,   1.00000,   1.61835,   0.23196,   0.50757,   0.78695,   0.18674,   0.02631,   0.97369,   0.99000,  13.02004,   8.03895,   2.23587,  33.33768,  33.67442,   7.17418,   0.65813,   0.13336,   0.07960
 110.00000,   1.00000,   3.36242,   0.52213,   0.49527,   0.82913,   0.13208,   0.03879,   0.96121,   1.69000,  16.69116,  16.60039,   2.57838,  30.84264,  18.25008,  14.89493,   0.91949,   0.01100,   0.06492
